clip,naive,lr,avg_reward
True,True,0.1616999999999999,-746879.5
False,False,0.2323999999999999,-835716.0
False,False,0.1314,-969018.5
True,False,0.1717999999999999,-513412.0
True,False,0.1415,-538523.0
True,True,0.1314,-796576.5
False,False,0.1314,-974689.0
True,True,0.2425,-743925.0
True,False,0.1415,-540486.0
False,False,0.1616999999999999,-889095.5
False,False,0.2425,-841212.0
True,False,0.1415,-544900.0
True,False,0.2425,-585756.5
False,False,0.1314,-962023.5
True,True,0.1717999999999999,-749831.0
True,False,0.1415,-552565.0
False,False,0.2425,-844177.5
True,True,0.1415,-790554.0
True,False,0.2526,-592642.0
True,True,0.1415,-758956.0
True,False,0.1717999999999999,-529650.0
True,True,0.1415,-787492.0
True,False,0.1415,-555240.0
True,True,0.2425,-704572.0
False,False,0.1717999999999999,-918604.5
True,True,0.1415,-780846.0
True,False,0.2526,-595359.5
False,False,0.1415,-954013.0
False,False,0.1415,-937931.0
True,True,0.1717999999999999,-742204.0
True,True,0.2526,-716138.5
False,False,0.1415,-978131.5
False,False,0.2425,-820922.0
True,False,0.1818999999999999,-552302.5
True,True,0.1415,-772218.5
False,False,0.1415,-963363.0
True,True,0.2526,-712684.0
True,False,0.1515999999999999,-520793.0
False,False,0.2526,-804689.0
False,False,0.1717999999999999,-919083.5
True,False,0.1515999999999999,-515873.0
True,False,0.1515999999999999,-558195.0
True,False,0.1515999999999999,-547852.0
True,True,0.1818999999999999,-735072.5
False,False,0.2526,-797796.5
True,False,0.2526,-623143.0
True,True,0.1515999999999999,-778857.0
False,False,0.1415,-968028.0
True,False,0.2627,-580334.0
True,False,0.1818999999999999,-587483.0
True,True,0.1515999999999999,-759665.5
True,True,0.1515999999999999,-765819.0
True,True,0.1515999999999999,-759680.5
True,False,0.2627,-592384.5
True,True,0.2526,-726458.5
False,False,0.1515999999999999,-962122.5
True,False,0.1515999999999999,-525471.5
True,True,0.2627,-696569.5
True,True,0.1818999999999999,-715385.0
False,False,0.1818999999999999,-882172.5
False,False,0.1515999999999999,-904593.0
False,False,0.1515999999999999,-931639.0
False,False,0.1515999999999999,-931873.0
True,True,0.2627,-728913.0
